"row_id","area__rucc","area__urban_influence","econ__economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_hispanic","demo__pct_non_hispanic_african_american","demo__pct_non_hispanic_white","demo__pct_american_indian_or_alaskan_native","demo__pct_asian","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","yr","heart_disease_mortality_per_100k","population","metro","p_diab_obese","p_diab_smoke","p_obese_smoke","p_all_three"
17,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents","Mining-dependent",0.476,0.028,0.252,0.166,0.492,0.255,0.178,0.061,0.005,0.868,0.05,0,0.0946745562130177,0.387573964497041,0.310650887573964,0.207100591715976,13,10,0.314,NA,0.12,NA,NA,0.394,10,NA,NA,3780,3700,"b",288,"under 2.5k","Non-Metro",0.03768,NA,NA,NA
19,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Nonspecialized",0.432,0.051,0.199,0.044,0.504,0.212,0.195,0.014,0.042,0.915,0.008,0.002,0.204343534057256,0.356367226061204,0.296150049358342,0.143139190523198,8,13,0.302,0.246,0.144,0.09,0.15,0.303,13,NA,23.37,6549,3710,"a",300,"2.5-20k","Non-Metro",0.043488,0.035424,0.074292,0.022436184
20,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents","Mining-dependent",0.417,0.087,0.243,0.089,0.497,0.215,0.219,0.009,0.004,0.961,0.004,0,0.228456913827655,0.43687374749499,0.248496993987976,0.0861723446893787,9,15,0.346,0.22,0.126,0.071,NA,0.343,11,NA,49.02,1119,1640,"b",322,"under 2.5k","Non-Metro",0.043596,0.02772,0.07612,0.02633752
24,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Nonspecialized",0.489,0.054,0.26,0.096,0.502,0.229,0.137,0.443,0.015,0.455,0.029,0.058,0.202213279678068,0.17907444668008,0.292756539235412,0.325955734406439,13,7,0.195,0.11,0.067,0.053,0.174,0.142,7,1.6,8.78,1330,1289,"a",213,"250k-1M","Metro",0.013065,0.00737,0.02145,0.00418275
27,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Manufacturing-dependent",0.456,0.065,0.247,0.081,0.488,0.188,0.18,0.044,0.216,0.738,0.006,0.003,0.193711967545639,0.495943204868154,0.206896551724138,0.103448275862069,9,13,0.337,0.348,0.12,0.107,NA,0.364,12,NA,NA,NA,5140,"b",310,"under 2.5k","Non-Metro",0.04044,0.04176,0.117276,0.039522012
30,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a large metro area","Farm-dependent",0.446,0.049,0.318,0.147,0.497,0.233,0.192,0.101,0.029,0.855,0.007,0,0.182358771060456,0.358771060455897,0.308225966303271,0.150644202180377,11,11,0.312,0.206,0.117,0.078,0.101,0.327,10,4.76,35.65,3790,7530,"b",337,"2.5-20k","Non-Metro",0.036504,0.024102,0.064272,0.020052864
31,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Federal/State government-dependent",0.459,0.07,0.215,0.054,0.536,0.241,0.128,0.036,0.55,0.375,0.009,0.019,0.143856143856144,0.260739260739261,0.284715284715285,0.310689310689311,14,9,0.362,0.185,0.137,0.117,0.144,0.287,13,13.06,14.94,1680,1119,"b",276,"250k-1M","Metro",0.049594,0.025345,0.06697,0.02424314
33,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents","Federal/State government-dependent",0.448,0.044,0.377,0.2,0.508,0.211,0.246,0.543,0.004,0.435,0.018,0.002,0.211519364448858,0.285998013902681,0.253227408142999,0.249255213505462,13,15,0.294,NA,0.113,0.095,0.186,0.289,10,NA,NA,NA,NA,"a",204,"under 2.5k","Non-Metro",0.033222,NA,NA,NA
34,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents","Recreation",0.527,0.085,0.274,0.153,0.466,0.256,0.093,0.041,0.001,0.697,0.14,0.04,0.0731948565776459,0.269040553907023,0.366963402571711,0.29080118694362,15,7,0.303,0.234,0.058,0.056,0.221,0.236,NA,NA,NA,2439,1379,"a",228,"under 2.5k","Non-Metro",0.017574,0.013572,0.070902,0.021483306
35,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Nonspecialized",0.427,0.083,0.231,0.084,0.517,0.268,0.171,0.056,0.107,0.813,0,0.002,0.26401630988787,0.391437308868502,0.224260958205912,0.120285423037717,14,14,0.337,0.307,0.121,0.107,NA,0.385,13,NA,23.16,3169,1759,"a",438,"2.5-20k","Non-Metro",0.040777,0.037147,0.103459,0.034865683
36,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Micropolitan adjacent to a small metro area","Manufacturing-dependent",0.504,0.04,0.172,0.074,0.513,0.248,0.181,0.027,0,0.947,0.011,0.007,0.0923535253227408,0.476663356504469,0.279046673286991,0.151936444885799,12,12,0.323,0.176,0.121,0.068,NA,0.262,13,NA,11.27,3639,2039,"b",262,"2.5-20k","Non-Metro",0.039083,0.021296,0.056848,0.018361904
37,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area","Recreation",0.404,0.08,0.213,0.082,0.479,0.171,0.222,0.105,0.025,0.814,0.029,0.016,0.097,0.293,0.402,0.208,9,14,0.232,0.194,0.092,0.052,0.265,0.205,10,NA,16.46,939,1080,"a",241,"20-250k","Non-Metro",0.021344,0.017848,0.045008,0.010441856
39,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents","Farm-dependent",0.559,0.027,0.153,0.062,0.497,0.228,0.199,0.023,0.008,0.954,0.014,0,0.0760760760760761,0.362362362362362,0.344344344344344,0.217217217217217,11,14,0.311,0.173,0.089,0.056,0.194,0.306,12,NA,NA,8360,4150,"a",261,"20-250k","Metro",0.027679,0.015397,0.053803,0.016732733
42,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Manufacturing-dependent",0.522,0.053,0.114,0.044,0.496,0.218,0.199,0.016,0,0.956,0.014,0.007,0.0946215139442231,0.435258964143426,0.298804780876494,0.171314741035857,10,14,0.273,0.199,0.105,0.078,0.256,0.232,11,NA,17.77,2609,1620,"a",287,"2.5-20k","Non-Metro",0.028665,0.020895,0.054327,0.014831271
43,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents","Nonspecialized",0.464,0.053,0.145,0.043,0.516,0.228,0.169,0.082,0.188,0.703,0.003,0.009,0.12625250501002,0.341683366733467,0.336673346693387,0.195390781563126,11,11,0.38,0.192,0.114,0.104,0.208,0.266,12,10.4,11.42,1570,1170,"a",269,"20-250k","Metro",0.04332,0.021888,0.07296,0.0277248
46,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more","Nonspecialized",0.438,0.06,0.199,0.05,0.494,0.283,0.129,0.03,0.009,0.947,0.001,0,0.178247734138973,0.444108761329305,0.255790533736153,0.121852970795569,14,9,0.362,0.273,0.117,0.086,NA,0.307,13,NA,26.12,3529,1879,"a",315,"1M+","Metro",0.042354,0.031941,0.098826,0.035775012
51,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Micropolitan adjacent to a large metro area","Nonspecialized",0.417,0.082,0.219,0.055,0.511,0.247,0.168,0.017,0.01,0.941,0.01,0.006,0.206793206793207,0.423576423576424,0.248751248751249,0.120879120879121,14,13,0.309,0.279,0.116,0.085,NA,0.33,14,4.17,26.79,3859,2330,"b",324,"2.5-20k","Non-Metro",0.035844,0.032364,0.086211,0.026639199
52,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Nonspecialized",0.423,0.064,0.269,0.06,0.518,0.227,0.197,0.011,0.012,0.97,0,0.009,0.172277227722772,0.42970297029703,0.271287128712871,0.126732673267327,12,15,0.376,0.166,0.118,0.088,NA,0.328,13,NA,38.48,4409,2859,"b",345,"2.5-20k","Non-Metro",0.044368,0.019588,0.062416,0.023468416
55,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Nonspecialized",0.457,0.054,0.279,0.126,0.514,0.216,0.215,0.031,0.002,0.93,0.009,0.011,0.0896551724137931,0.333004926108374,0.332019704433498,0.245320197044335,9,11,0.202,0.194,0.062,0.06,0.183,0.194,11,NA,20.24,2159,1440,"b",199,"2.5-20k","Non-Metro",0.012524,0.012028,0.039188,0.007915976
57,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Nonspecialized",0.454,0.056,0.219,0.056,0.51,0.267,0.114,0.028,0.062,0.882,0.008,0.014,0.125373134328358,0.340298507462687,0.34228855721393,0.192039800995025,14,8,0.302,0.206,0.107,0.082,0.158,0.291,12,4.24,24.24,3910,5770,"b",313,"250k-1M","Metro",0.032314,0.022042,0.062212,0.018788024
58,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Manufacturing-dependent",0.601,0.04,0.116,0.053,0.508,0.222,0.207,0.021,0,0.953,0.003,0.002,0.0791583166332665,0.362725450901804,0.343687374749499,0.214428857715431,11,13,0.337,0.181,0.091,0.073,0.12,0.287,8,NA,21.68,7269,2450,"b",243,"under 2.5k","Non-Metro",0.030667,0.016471,0.060997,0.020555989
61,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more","Mining-dependent",0.432,0.043,0.259,0.154,0.499,0.203,0.24,0.113,0,0.847,0.015,0.003,0.104790419161677,0.294411177644711,0.349301397205589,0.251497005988024,12,14,0.268,0.223,0.112,0.073,0.184,0.246,10,3,21.12,2400,1919,"a",250,"1M+","Metro",0.030016,0.024976,0.059764,0.016016752
63,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents","Farm-dependent",0.331,0.055,0.292,0.104,0.405,0.197,0.124,0.047,0.612,0.328,0.009,0.002,0.274274274274274,0.384384384384384,0.242242242242242,0.0990990990990991,8,7,0.328,NA,0.121,0.138,NA,0.287,12,NA,NA,3259,3249,"a",378,"under 2.5k","Non-Metro",0.039688,NA,NA,NA
64,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Micropolitan adjacent to a large metro area","Manufacturing-dependent",0.411,0.067,0.204,0.057,0.501,0.193,0.183,0.023,0.3,0.655,0.005,0.001,0.269346733668342,0.380904522613065,0.269346733668342,0.0804020100502513,9,10,0.364,0.306,0.156,0.113,NA,0.323,13,NA,24.31,NA,NA,"a",300,"under 2.5k","Non-Metro",0.056784,0.047736,0.111384,0.040543776
65,"Metro - Counties in metro areas of fewer than 250,000 population","Small-in a metro area with fewer than 1 million residents","Nonspecialized",0.547,0.04,0.097,0.064,0.503,0.219,0.188,0.009,0.009,0.965,0,0.004,0.0725806451612903,0.349798387096774,0.368951612903226,0.20866935483871,11,11,0.264,0.13,0.086,0.058,0.216,0.239,12,NA,12.44,2080,1560,"a",175,"20-250k","Metro",0.022704,0.01118,0.03432,0.00906048
67,"Metro - Counties in metro areas of 1 million population or more","Large-in a metro area with at least 1 million residents or more","Nonspecialized",0.512,0.07,0.138,0.029,0.502,0.283,0.096,0.158,0.111,0.665,0.001,0.05,0.0835030549898167,0.270875763747454,0.30244399185336,0.343177189409369,11,6,0.322,0.182,0.106,0.086,0.233,0.235,13,2.59,8.31,2079,1990,"b",255,"1M+","Metro",0.034132,0.019292,0.058604,0.018870488
68,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents","Farm-dependent",0.318,0.057,0.252,0.173,0.487,0.272,0.254,0.086,0,0.895,0.007,0,0.168326693227092,0.395418326693227,0.25398406374502,0.182270916334661,7,11,0.252,NA,0.095,NA,NA,0.228,11,NA,NA,NA,NA,"a",275,"under 2.5k","Non-Metro",0.02394,NA,NA,NA
70,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents","Recreation",0.441,0.058,0.327,0.125,0.513,0.183,0.244,0.301,0.001,0.657,0.027,0.005,0.12202380952381,0.266865079365079,0.331349206349206,0.279761904761905,9,10,0.23,0.219,0.081,0.098,0.181,0.222,9,8.38,17.85,2910,1569,"b",185,"2.5-20k","Non-Metro",0.01863,0.017739,0.05037,0.0115851
71,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a large metro area","Recreation",0.397,0.082,0.232,0.157,0.495,0.198,0.255,0.175,0.002,0.639,0.168,0.011,0.156345177664975,0.296446700507614,0.377664974619289,0.169543147208122,12,15,0.273,0.25,0.118,0.085,0.145,0.256,10,8.8,25.83,1759,1709,"a",249,"20-250k","Non-Metro",0.032214,0.0295,0.06825,0.01863225
73,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a large metro area","Nonspecialized",0.321,0.097,0.214,0.09,0.499,0.177,0.267,0.035,0,0.921,0.01,0.003,0.0822596630327057,0.32804757185332,0.444995044598613,0.144697720515362,7,12,0.315,0.159,0.123,NA,0.181,0.226,10,NA,NA,2019,NA,"b",233,"under 2.5k","Non-Metro",0.038745,0.019557,0.050085,0.015776775
76,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Nonspecialized",0.368,0.107,0.298,0.099,0.498,0.22,0.171,0.003,0.597,0.356,0.027,0,0.241310824230387,0.314796425024826,0.337636544190665,0.106256206554121,10,10,0.364,0.268,0.157,0.15,NA,0.317,13,NA,16.47,5139,NA,"a",314,"under 2.5k","Non-Metro",0.057148,0.042076,0.097552,0.035508928
77,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents","Mining-dependent",0.567,0.043,0.213,0.121,0.515,0.226,0.202,0.076,0.003,0.878,0.02,0.002,0.114,0.381,0.287,0.218,13,13,0.323,0.203,0.122,0.053,NA,0.342,10,NA,NA,1390,819,"a",307,"under 2.5k","Non-Metro",0.039406,0.024766,0.065569,0.021178787
78,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents","Federal/State government-dependent",0.342,0.064,0.242,0.097,0.466,0.195,0.214,0.027,0.087,0.854,0.005,0.002,0.222664015904573,0.40258449304175,0.294234592445328,0.0805168986083499,9,13,0.355,0.306,0.155,0.08,0.079,0.337,12,NA,47.4,3979,5369,"a",294,"2.5-20k","Non-Metro",0.055025,0.04743,0.10863,0.03856365
79,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents","Nonspecialized",0.296,0.151,0.273,0.084,0.498,0.227,0.131,0.006,0.852,0.143,0.006,0,0.2412109375,0.359375,0.2373046875,0.162109375,14,11,0.444,0.181,0.192,0.177,0.085,0.361,11,NA,22.59,NA,3809,"a",383,"under 2.5k","Non-Metro",0.085248,0.034752,0.080364,0.035681616
80,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Mining-dependent",0.351,0.092,0.19,0.084,0.493,0.209,0.168,0.009,0.005,0.981,0,0.005,0.253716551040634,0.354806739345887,0.282457879088206,0.109018830525273,9,13,0.289,0.319,0.126,0.085,NA,0.297,13,NA,18.65,16109,3140,"b",310,"under 2.5k","Non-Metro",0.036414,0.040194,0.092191,0.026643199
82,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Farm-dependent",0.413,0.049,0.318,0.095,0.505,0.271,0.13,0.396,0.02,0.548,0.02,0.009,0.192502532928065,0.25531914893617,0.324214792299899,0.227963525835866,16,6,0.274,0.231,0.072,0.083,0.132,0.286,9,NA,18.57,3580,1569,"b",280,"2.5-20k","Non-Metro",0.019728,0.016632,0.063294,0.017342556
83,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents","Manufacturing-dependent",0.419,0.059,0.25,0.051,0.512,0.241,0.187,0.021,0.308,0.638,0.002,0.008,0.167004048582996,0.431174089068826,0.261133603238866,0.140688259109312,10,14,0.35,0.346,0.151,0.091,NA,0.339,11,NA,32.42,9080,3000,"b",360,"2.5-20k","Non-Metro",0.05285,0.052246,0.1211,0.042385
85,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents","Recreation",0.521,0.051,0.149,0.057,0.504,0.2,0.229,0.019,0.016,0.952,0.01,0.008,0.0817160367722165,0.390194075587334,0.324821246169561,0.203268641470889,8,12,0.301,0.23,0.108,0.078,0.25,0.251,11,NA,29.53,3130,979,"a",276,"2.5-20k","Non-Metro",0.032508,0.02484,0.06923,0.02083823
86,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents","Federal/State government-dependent",0.331,0.076,0.25,0.107,0.411,0.197,0.156,0.097,0.347,0.547,0.009,0,0.255744255744256,0.376623376623377,0.265734265734266,0.101898101898102,11,11,0.373,0.211,0.138,0.098,0.111,0.332,12,8.84,31.48,8850,7329,"b",296,"2.5-20k","Non-Metro",0.051474,0.029118,0.078703,0.029356219
87,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Nonspecialized",0.495,0.064,0.177,0.051,0.523,0.219,0.139,0.049,0.246,0.658,0.006,0.037,0.112449799196787,0.320281124497992,0.283132530120482,0.284136546184739,12,9,0.339,0.188,0.11,0.092,0.139,0.276,12,6.8,14.17,1289,1300,"a",316,"250k-1M","Metro",0.03729,0.02068,0.063732,0.021605148
90,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Federal/State government-dependent",0.335,0.06,0.233,0.102,0.514,0.27,0.073,0.168,0.155,0.616,0.016,0.016,0.12202380952381,0.306547619047619,0.424603174603175,0.146825396825397,14,6,0.293,0.162,0.089,0.081,NA,0.258,9,2.91,13.6,5919,5460,"b",285,"250k-1M","Metro",0.026077,0.014418,0.047466,0.013907538
94,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Federal/State government-dependent",0.436,0.065,0.213,0.086,0.482,0.214,0.15,0.027,0.023,0.887,0.011,0.03,0.132734530938124,0.337325349301397,0.263473053892216,0.266467065868263,11,10,0.329,0.258,0.099,0.075,0.153,0.254,10,3.22,20.12,2659,999,"b",319,"20-250k","Non-Metro",0.032571,0.025542,0.084882,0.027926178
95,"Metro - Counties in metro areas of 250,000 to 1 million population","Small-in a metro area with fewer than 1 million residents","Federal/State government-dependent",0.506,0.037,0.101,0.044,0.486,0.244,0.145,0.03,0.003,0.946,0.004,0,0.0771543086172345,0.359719438877755,0.326653306613226,0.236472945891784,11,8,0.289,0.284,0.09,0.081,0.225,0.273,9,NA,18.88,2479,1640,"a",272,"250k-1M","Metro",0.02601,0.02556,0.082076,0.023719964
96,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents","Mining-dependent",0.326,0.112,0.187,0.065,0.478,0.183,0.186,0.006,0.037,0.949,0.009,0,0.299599198396794,0.349699398797595,0.251503006012024,0.0991983967935872,8,14,0.289,0.295,0.12,0.1,NA,0.278,13,9.1,36.69,5890,2980,"a",343,"under 2.5k","Non-Metro",0.03468,0.0354,0.085255,0.024638695
97,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Micropolitan not adjacent to a metro area","Manufacturing-dependent",0.592,0.027,0.132,0.064,0.511,0.241,0.181,0.045,0.007,0.937,0,0,0.0746268656716418,0.33134328358209,0.354228855721393,0.239800995024876,14,9,0.301,0.167,0.083,0.059,0.17,0.257,12,NA,NA,3279,3290,"b",228,"2.5-20k","Non-Metro",0.024983,0.013861,0.050267,0.015130367
98,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents","Mining-dependent",0.561,0.066,0.223,0.156,0.486,0.27,0.132,0.238,0.004,0.692,0.056,0.003,0.191808191808192,0.36963036963037,0.360639360639361,0.0779220779220779,15,5,0.299,0.174,0.073,0.075,0.162,0.212,13,NA,36.99,6030,5940,"a",284,"2.5-20k","Non-Metro",0.021827,0.012702,0.052026,0.015555774
101,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area","Micropolitan adjacent to a small metro area","Recreation",0.526,0.045,0.094,0.039,0.511,0.182,0.184,0.015,0,0.96,0,0.005,0.093,0.343,0.274,0.29,9,11,0.288,0.182,0.097,0.058,0.167,0.212,11,1.7,11.3,1400,1259,"a",253,"20-250k","Non-Metro",0.027936,0.017654,0.052416,0.015095808
